I = 40;
M = 12;
J = 5;
r = 3;
beta = -0.5;

potrosac = [<41.57,33.48>, <1.76,16.37>, <44.10,23.33>, <16.10,7.90>, <45.64,4.69>, <18.04,15.80>, <31.86,45.57>, <36.99,48.29>, <14.24,37.30>, <35.64,2.66>, <28.69,43.87>, <1.51,11.37>, <26.78,30.40>, <27.23,44.16>, <18.96,32.92>, <27.24,41.07>, <19.54,45.95>, <42.37,36.16>, <45.79,33.15>, <14.69,47.96>, <17.59,17.34>, <31.35,25.02>, <49.82,20.72>, <46.64,22.53>, <11.27,26.78>, <33.67,15.02>, <29.35,21.85>, <1.07,3.24>, <18.99,35.03>, <7.92,48.13>, <18.15,5.39>, <9.33,46.03>, <42.26,33.10>, <2.93,32.11>, <1.15,11.74>, <3.38,33.54>, <40.96,13.07>, <49.80,27.12>, <42.48,9.84>, <39.81,31.54>];
objekat = [<21.63,21.72>, <21.75,12.70>, <37.65,44.79>, <28.27,36.08>, <40.52,14.29>];
konkurencija = [<3.90,38.20>, <38.21,18.90>, <13.28,3.75>, <30.14,14.95>, <11.68,22.44>, <6.43,32.98>, <16.20,14.69>];

q = [10,6,10,8,2,7,2,3,7,5,4,4,2,2,6,8,3,7,8,4,2,6,2,9,3,4,6,8,7,5,5,2,4,1,4,3,7,6,8,4];
