I = 20;
M = 12;
J = 5;
r = 2;
beta = -0.4;

potrosac = [<28.57,21.44>, <28.90,10.30>, <40.67,41.18>, <32.67,8.01>, <26.03,16.39>, <12.50,47.64>, <49.83,2.23>, <43.01,30.16>, <19.08,14.18>, <33.75,22.84>, <34.29,33.09>, <6.65,38.39>, <49.12,48.47>, <30.67,2.21>, <0.20,6.70>, <47.05,15.14>, <18.31,44.91>, <15.72,27.45>, <21.80,3.25>, <29.23,42.20>];
objekat = [<38.78,4.83>, <8.32,40.37>, <47.38,21.66>, <20.70,12.27>, <13.74,30.86>];
konkurencija = [<7.82,11.21>, <20.64,1.85>, <24.83,40.90>, <32.89,26.67>, <42.76,7.48>, <28.36,18.71>, <30.07,5.65>];

q = [3,9,6,4,4,3,4,9,2,6,10,6,10,8,2,7,2,3,7,5];
