I = 40;
M = 22;
J = 15;
r = 3;
beta = -0.2;

potrosac = [<33.71,13.00>, <17.26,45.87>, <14.53,23.50>, <44.51,35.39>, <3.11,7.37>, <0.39,31.55>, <22.38,6.71>, <47.90,26.48>, <12.09,25.03>, <33.98,3.81>, <13.74,40.35>, <22.98,27.33>, <21.64,2.19>, <8.29,22.28>, <10.46,2.50>, <42.18,49.06>, <39.66,42.69>, <12.10,48.03>, <9.85,47.57>, <49.74,35.59>, <49.06,28.48>, <12.98,21.85>, <29.68,3.65>, <31.12,49.06>, <9.51,39.63>, <45.39,47.19>, <48.01,26.07>, <48.87,37.87>, <8.08,23.85>, <35.92,12.37>, <32.03,33.33>, <8.13,28.25>, <38.58,24.94>, <0.61,0.45>, <17.85,46.31>, <11.43,31.72>, <11.10,16.08>, <42.40,36.44>, <4.77,21.44>, <1.46, 24.04>];
objekat = [<14.78,29.69>, <1.64,31.80>, <18.22,14.76>, <43.97,23.00>, <4.75,41.34>, <2.38,36.34>, <38.70,17.63>, <19.59,27.34>, <26.60,29.52>, <36.16,10.03>, <21.87,44.14>, <2.60,9.56>, <32.03,20.80>, <44.80,40.90>, <12.64, 13.57>];
konkurencija = [<14.50,46.55>, <37.95,30.48>, <10.18,0.50>, <15.50,36.59>, <3.07,18.11>, <41.24,25.78>, <23.16, 2.27>];

q = [10,6,10,8,2,7,2,3,7,5,4,4,2,2,6,8,3,7,8,4,2,6,2,9,3,4,6,8,7,5,5,2,4,1,4,3,7,6,8,4];
